cruise,depth,temperature,conductivity,salinity,density,oxygen2
EX1903L1,1.855,27.4393,5.802856,36.7027,1023.8593,6.3636
EX1903L1,1.795,27.4395,5.802824,36.7023,1023.8594,6.3643
EX1903L1,1.84,27.4385,5.802703,36.7022,1023.8597,6.3648
EX1903L1,1.795,27.438,5.802703,36.7026,1023.8592,6.3653
EX1903L1,1.743,27.4378,5.802711,36.7028,1023.8585,6.3658
EX1903L1,1.788,27.4383,5.802784,36.703,1023.8584,6.3664
EX1903L1,1.743,27.4385,5.802808,36.7029,1023.8579,6.3668
EX1903L1,1.795,27.4387,5.802808,36.7028,1023.8587,6.3674
EX1903L1,1.788,27.4389,5.80288,36.7031,1023.8589,6.3645
EX1903L1,1.743,27.4394,5.802945,36.7033,1023.8589,6.3645
EX1903L1,1.795,27.4398,5.802888,36.7025,1023.8589,6.3678
EX1903L1,1.788,27.4393,5.802719,36.7017,1023.8595,6.3648
EX1903L1,1.795,27.438,5.802598,36.7019,1023.8589,6.3679
EX1903L1,1.691,27.4372,5.802534,36.702,1023.8579,6.3645
EX1903L1,1.951,27.4362,5.802421,36.702,1023.8591,6.3678
EX1903L1,1.855,27.436,5.802413,36.7021,1023.8587,6.3647
EX1903L1,1.788,27.436,5.802469,36.7025,1023.8579,6.3645
EX1903L1,1.855,27.4367,5.80255,36.7025,1023.8584,6.3645
EX1903L1,1.855,27.4367,5.802614,36.7029,1023.8596,6.3678
EX1903L1,1.84,27.4374,5.802655,36.7027,1023.8599,6.3646
EX1903L1,1.855,27.4378,5.802703,36.7027,1023.8607,6.3677
EX1903L1,1.855,27.4381,5.802751,36.7028,1023.8608,6.3677
EX1903L1,1.892,27.4387,5.802759,36.7024,1023.8611,6.3676
EX1903L1,1.855,27.4396,5.802872,36.7025,1023.861,6.3707
EX1903L1,1.906,27.4406,5.802977,36.7025,1023.8613,6.3707
EX1903L1,1.951,27.4408,5.802969,36.7022,1023.861,6.3739
EX1903L1,1.906,27.4404,5.80288,36.702,1023.8609,6.374
EX1903L1,1.855,27.4396,5.802824,36.7022,1023.8603,6.3741
EX1903L1,2.003,27.4399,5.802913,36.7025,1023.8606,6.3775
EX1903L1,1.958,27.4409,5.803098,36.7031,1023.8603,6.3777
EX1903L1,1.951,27.4424,5.803179,36.7025,1023.8599,6.3778
EX1903L1,1.958,27.4431,5.803259,36.7025,1023.8592,6.3779
EX1903L1,2.018,27.4432,5.803324,36.7029,1023.8597,6.3847
EX1903L1,2.003,27.4437,5.803364,36.7028,1023.8599,6.3819
EX1903L1,2.018,27.4438,5.803308,36.7023,1023.8592,6.3792
EX1903L1,2.07,27.4441,5.803356,36.7024,1023.8594,6.3795
EX1903L1,2.055,27.4442,5.80338,36.7025,1023.8601,6.3798
EX1903L1,2.018,27.4442,5.803316,36.702,1023.8594,6.3831
EX1903L1,2.121,27.4438,5.803284,36.7021,1023.8594,6.3772
EX1903L1,2.055,27.4439,5.803284,36.702,1023.8591,6.3771
EX1903L1,2.121,27.4438,5.803211,36.7015,1023.8601,6.3772
EX1903L1,2.114,27.4428,5.802977,36.7007,1023.86,6.3774
EX1903L1,2.121,27.4416,5.802864,36.7008,1023.8603,6.3773
EX1903L1,2.121,27.4404,5.802856,36.7017,1023.8605,6.3771
EX1903L1,2.218,27.44,5.802929,36.7025,1023.8617,6.3771
EX1903L1,2.233,27.44,5.802993,36.7029,1023.861,6.3769
EX1903L1,2.233,27.4407,5.80301,36.7026,1023.8599,6.3769
EX1903L1,2.166,27.44,5.802889,36.7022,1023.8603,6.3736
EX1903L1,2.396,27.4387,5.802752,36.7022,1023.8619,6.377
EX1903L1,2.344,27.4384,5.802856,36.7032,1023.8619,6.3769
EX1903L1,2.388,27.4392,5.802977,36.7034,1023.8613,6.3767
EX1903L1,2.396,27.4398,5.803074,36.7036,1023.861,6.3766
EX1903L1,2.44,27.4409,5.803203,36.7037,1023.8612,6.3733
EX1903L1,2.396,27.442,5.803268,36.7033,1023.8616,6.373
EX1903L1,2.507,27.4428,5.803389,36.7035,1023.8618,6.3759
EX1903L1,2.492,27.444,5.803429,36.7028,1023.8612,6.3725
EX1903L1,2.559,27.4444,5.803461,36.7028,1023.8611,6.3754
EX1903L1,2.559,27.4447,5.803373,36.7019,1023.8613,6.375
EX1903L1,2.603,27.444,5.803292,36.7018,1023.8618,6.3747
EX1903L1,2.618,27.4435,5.803324,36.7025,1023.8622,6.3745
EX1903L1,2.655,27.444,5.803365,36.7023,1023.8623,6.374
EX1903L1,2.67,27.4447,5.803453,36.7024,1023.8623,6.3737
EX1903L1,2.67,27.4449,5.803477,36.7024,1023.8618,6.3698
EX1903L1,2.714,27.4449,5.803332,36.7014,1023.8618,6.3726
EX1903L1,2.722,27.4436,5.803211,36.7016,1023.862,6.372
EX1903L1,2.781,27.4428,5.803292,36.7027,1023.8621,6.3715
EX1903L1,2.766,27.4435,5.803332,36.7025,1023.8616,6.3708
EX1903L1,2.781,27.4438,5.803365,36.7024,1023.8619,6.3704
EX1903L1,2.818,27.4436,5.803308,36.7022,1023.8623,6.373
EX1903L1,2.833,27.4433,5.803219,36.7018,1023.8621,6.3728
EX1903L1,2.833,27.4424,5.803082,36.7015,1023.8623,6.3728
EX1903L1,2.818,27.4425,5.803155,36.702,1023.863,6.3727
EX1903L1,2.885,27.4424,5.803147,36.702,1023.8636,6.3727
EX1903L1,2.833,27.4428,5.803211,36.7021,1023.8634,6.3693
EX1903L1,2.818,27.4429,5.803195,36.7019,1023.8636,6.3691
EX1903L1,2.885,27.4427,5.803228,36.7023,1023.8641,6.3723
EX1903L1,2.877,27.4429,5.803236,36.7022,1023.8637,6.369
EX1903L1,2.885,27.4433,5.803236,36.7019,1023.863,6.3657
EX1903L1,2.833,27.4428,5.803131,36.7015,1023.8629,6.3656
EX1903L1,2.929,27.4417,5.802986,36.7014,1023.8633,6.3655
EX1903L1,2.833,27.4411,5.802994,36.7019,1023.8624,6.3653
EX1903L1,2.885,27.4407,5.803002,36.7022,1023.8629,6.3626
EX1903L1,2.877,27.4408,5.80297,36.7019,1023.8635,6.3595
EX1903L1,2.833,27.4406,5.802953,36.702,1023.863,6.359
EX1903L1,2.877,27.4411,5.803131,36.7029,1023.8628,6.3586
EX1903L1,2.833,27.4422,5.803268,36.703,1023.8628,6.3583
EX1903L1,2.833,27.4436,5.803429,36.7031,1023.8631,6.3583
EX1903L1,2.877,27.4444,5.80351,36.703,1023.863,6.3578
